#Wave	#Intensity
1186.648438	906.971191
1185.496094	976.043274
1184.345703	920.036377
1183.195313	872.980774
1182.042969	906.304443
1180.892578	908.369629
1179.740234	868.036316
1178.587891	899.111206
1177.435547	925.713379
1176.283203	903.240784
1175.130859	905.304321
1173.978516	873.926025
1172.826172	860.391174
1171.671875	886.975708
1170.519531	811.054443
1169.365234	884.421204
1168.210938	895.394958
1167.056641	917.499390
1165.902344	926.236389
1164.748047	928.291748
1163.593750	903.637756
1162.439453	923.498840
1161.283203	874.380981
1160.128906	920.933716
1158.972656	820.680786
1157.818359	849.436890
1156.662109	884.852051
1155.505859	922.476929
1154.349609	897.859924
1153.191406	906.582214
1152.035156	857.539490
1150.878906	906.247375
1149.720703	943.833252
1148.564453	921.455139
1147.406250	854.685913
1146.248047	865.625732
1145.089844	943.135742
1143.931641	909.680359
1142.773438	920.603760
1141.615234	893.818542
1140.455078	891.435730
1139.296875	909.007507
1138.136719	957.606323
1136.976563	955.212830
1135.818359	921.798096
1134.658203	943.781921
1133.498047	979.047852
1132.335938	939.003174
1131.175781	985.327881
1130.015625	1018.352539
1128.853516	938.481445
1127.693359	975.928345
1126.531250	977.960083
1125.369141	922.474548
1124.207031	975.385742
1123.044922	919.921204
1121.882813	935.227173
1120.720703	970.422119
1119.556641	914.989136
1118.394531	930.287354
1117.230469	983.137878
1116.068359	996.208740
1114.904297	920.935547
1113.740234	958.301758
1112.576172	913.970642
1111.412109	909.386414
1110.246094	933.492737
1109.082031	944.351440
1107.917969	922.115784
1106.751953	910.916382
1105.585938	893.105469
1104.421875	910.577820
1103.255859	817.824585
1102.089844	892.607483
1100.921875	865.998779
1099.755859	870.243958
1098.589844	841.446472
1097.421875	843.492249
1096.255859	863.152527
1095.087891	865.193420
1093.919922	862.831238
1092.751953	838.463013
1091.583984	877.911926
1090.416016	849.150146
1089.248047	903.978516
1088.080078	906.009155
1086.910156	875.059326
1085.740234	896.878601
1084.572266	854.952820
1083.402344	914.123596
1082.232422	918.347168
1081.062500	915.979370
1079.892578	942.162720
1078.722656	1003.468689
1077.550781	1040.602661
1076.380859	1084.307617
1075.208984	1145.552490
1074.037109	1121.203247
1072.867188	1191.193237
1071.695313	1223.870605
1070.523438	1285.043457
1069.349609	1194.911011
1068.177734	1231.953369
1067.005859	1133.097778
1065.832031	1207.389160
1064.660156	1139.246948
1063.486328	1097.415405
1062.312500	1068.739868
1061.138672	1029.126709
1059.964844	1050.826416
1058.791016	991.532043
1057.617188	1006.665405
1056.441406	916.769348
1055.267578	929.723328
1054.091797	903.303284
1052.916016	918.441589
1051.742188	883.288025
1050.566406	806.614502
1049.390625	839.246582
1048.212891	922.124329
1047.037109	814.900391
1045.861328	816.932068
1044.683594	816.778992
1043.507813	875.580261
1042.330078	847.036072
1041.152344	833.781311
1039.974609	800.891052
1038.796875	811.650208
1037.619141	857.308350
1036.439453	796.078552
1035.261719	789.387390
1034.082031	721.652527
1032.904297	789.091248
1031.724609	703.946533
1030.544922	771.363159
1029.365234	762.504089
1028.185547	758.004578
1027.005859	770.928894
1025.826172	807.799133
1024.644531	737.985168
1023.464844	713.904602
1022.283203	800.815674
1021.101563	746.272217
1019.919922	746.131958
1018.738281	813.413757
1017.556641	824.133301
1016.375000	787.018921
1015.191406	804.260376
1014.009766	791.069519
1012.826172	825.686462
1011.644531	808.151550
1010.460938	860.128540
1009.277344	905.570984
1008.093750	1000.934448
1006.910156	1007.258484
1005.726563	1028.772949
1004.541016	1176.139160
1003.357422	1123.847534
1002.171875	1158.342896
1000.986328	1192.825073
999.802734	1218.620728
998.617188	1263.918213
997.431641	1335.209106
996.244141	1371.798828
995.058594	1436.542236
993.873047	1308.458374
992.685547	1414.341431
991.498047	1275.482422
990.312500	1346.690063
989.125000	1322.624512
987.937500	1361.332031
986.750000	1255.045532
985.562500	1302.404907
984.373047	1289.180786
983.185547	1267.310913
981.996094	1210.853516
980.808594	1279.803467
979.619141	1305.498901
978.429688	1352.794678
977.240234	1397.911865
976.050781	1553.182007
974.861328	1747.269531
973.669922	1986.630737
972.480469	2325.214111
971.289063	2797.500244
970.097656	3584.698730
968.908203	4503.222168
967.716797	4813.027344
966.525391	4404.457031
965.332031	3603.552979
964.140625	2686.521729
962.949219	2039.300659
961.755859	1704.843140
960.564453	1374.821777
959.371094	1193.584839
958.177734	1105.041748
956.984375	1085.449463
955.791016	930.209045
954.597656	919.268616
953.402344	929.856750
952.208984	856.511292
951.013672	774.587036
949.820313	826.069641
948.625000	718.372314
947.429688	769.845886
946.234375	776.149963
945.039063	715.814209
943.843750	747.916260
942.646484	741.328064
941.451172	758.374451
940.253906	683.051880
939.056641	693.660095
937.861328	734.324219
936.664063	714.864197
935.466797	688.972534
934.267578	688.841736
933.070313	720.893738
931.873047	695.015503
930.673828	707.751770
929.476563	720.483093
928.277344	703.195129
927.078125	733.070251
925.878906	709.357178
924.679688	719.935669
923.480469	717.656555
922.279297	711.094604
921.080078	680.979187
919.878906	700.119019
918.677734	704.267151
917.478516	652.767883
916.277344	590.589050
915.076172	665.355957
913.875000	673.785400
912.671875	667.241394
911.470703	690.634399
910.267578	647.747375
909.066406	641.211914
907.863281	660.322510
906.660156	692.245178
905.457031	700.657959
904.253906	691.981506
903.050781	668.360962
901.845703	595.645935
900.642578	693.720520
899.437500	582.614197
898.234375	678.520142
897.029297	678.390808
895.824219	601.477112
894.619141	661.072205
893.414063	633.229004
892.207031	633.108215
891.001953	662.825256
889.796875	632.866699
888.589844	649.789551
887.382813	621.974915
886.175781	613.337585
884.968750	640.900635
883.761719	604.588135
882.554688	617.243225
881.347656	638.405518
880.138672	655.304504
878.931641	601.999146
877.722656	665.688110
876.513672	627.285889
875.304688	648.425842
874.095703	614.292664
872.886719	590.798279
871.677734	597.059631
870.466797	639.432739
869.257813	637.186462
868.046875	639.188171
866.835938	630.573303
865.625000	624.084473
864.414063	670.656372
863.203125	647.186829
861.992188	659.792114
860.781250	602.395752
859.568359	631.970337
858.357422	597.924561
857.144531	646.567627
855.931641	665.519165
854.718750	648.439026
853.505859	633.484131
852.292969	635.481018
851.080078	599.355530
849.865234	622.532715
848.652344	679.573853
847.437500	626.527405
846.222656	632.755981
845.007813	651.677185
843.792969	660.013916
842.578125	670.462463
841.363281	623.812256
840.148438	604.664673
838.931641	642.597168
837.714844	629.793457
836.500000	585.299683
835.283203	631.664368
834.066406	629.430908
832.849609	637.757141
831.632813	624.966431
830.414063	593.181946
829.197266	593.067993
827.978516	616.165771
826.759766	620.266907
825.542969	573.742126
824.324219	601.048096
823.105469	577.738708
821.886719	594.492676
820.666016	600.701538
819.447266	670.127563
818.226563	606.791321
817.007813	572.970459
815.787109	650.786072
814.566406	593.807007
813.345703	616.851013
812.125000	570.424744
810.904297	641.867432
809.681641	677.513184
808.460938	576.406494
807.238281	588.915100
806.015625	582.493103
804.792969	607.610413
803.570313	594.881104
802.347656	601.071472
801.125000	596.753174
799.902344	619.747437
798.677734	548.213257
797.455078	554.407654
796.230469	592.094055
795.005859	604.575195
793.781250	585.569336
792.556641	560.275452
791.332031	530.795349
790.107422	597.816162
788.880859	601.895264
787.656250	574.520874
786.429688	561.831665
