3.22	8.448	0.001	552.8	18
3.24	8.448	0	555	18
3.26	8.448	0	557.21	18
3.28	8.448	0	559.4	18
3.3	8.448	0	561.59	18
3.32	8.448	0	563.8	18
3.34	8.448	0	566.09	18
3.36	8.449	0.001	568.3	18
3.38	8.449	0	570.49	18
3.4	8.45	0.001	572.69	18
3.42	8.449	0	574.89	18
3.44	8.449	0	577.09	18
3.46	8.45	0.001	579.29	18
3.48	8.45	0	581.49	18
3.5	8.45	0.001	583.78	18
3.52	8.45	0	585.99	18
3.54	8.45	0	588.18	18
3.56	8.45	0	590.38	18
3.58	8.45	0	592.59	18
3.6	8.45	0	594.78	18
3.62	8.451	0	597.08	18
3.64	8.451	0	599.28	18
3.66	8.451	0	601.48	18
3.68	8.451	0	603.68	18
3.7	8.451	0	605.88	18
3.72	8.452	0	608.08	18
3.74	8.452	0	610.28	18
3.76	8.452	0.001	612.47	18
3.78	8.453	0	614.67	18
3.8	8.453	0	616.88	18
3.82	8.453	0	619.07	18
3.84	8.453	0	621.47	18
3.86	8.454	0.001	623.67	18
3.88	8.453	0	625.87	18
3.9	8.454	0	628.07	18
3.92	8.454	0	630.27	18
3.94	8.455	0.001	632.57	18
3.96	8.454	0	634.77	18
3.98	8.455	0	636.97	18
4	8.455	0	639.16	18
4.02	8.455	0.001	641.36	18
4.04	8.456	0	643.57	18
4.06	8.456	0	645.76	18
4.08	8.456	0	647.96	18
4.1	8.457	0	650.16	18
4.12	8.456	0	652.36	18
4.14	8.457	0	654.66	18
4.16	8.457	0	656.86	18
4.18	8.457	0	659.06	18
4.2	8.457	0	661.26	18
4.22	8.458	0.001	663.46	18
4.24	8.458	0	665.76	18
4.26	8.458	0.001	668.05	18
4.28	8.458	0	670.26	18
4.3	8.458	0	672.45	18
4.32	8.459	0	674.65	18
4.34	8.459	0	676.86	18
4.36	8.459	0	679.05	18
4.38	8.46	0.001	681.25	18
4.4	8.46	0	683.45	18
4.42	8.46	0	685.75	18
4.44	8.46	0	687.95	18
4.46	8.461	0	690.15	18
4.48	8.461	0	692.35	18
4.5	8.461	0	694.55	18
4.52	8.461	0	696.74	18
4.54	8.462	0	698.94	18
4.56	8.462	0	701.24	18
4.58	8.462	0	703.44	18
4.6	8.462	0	705.74	18
4.62	8.463	0	707.94	18
4.64	8.463	0	710.24	18
4.66	8.463	0	712.44	18
4.68	8.463	0	714.64	18
4.7	8.464	0	716.84	18
4.72	8.464	0	719.04	18
4.74	8.464	0.001	721.24	18
4.76	8.465	0.001	723.43	18
4.78	8.465	0	725.63	18
4.8	8.465	0	727.84	18
4.82	8.465	0	730.24	18
4.84	8.465	0	732.53	18
4.86	8.466	0.001	734.74	18
4.88	8.467	0.001	736.93	18
4.9	8.467	0	739.13	18
4.92	8.467	0	741.33	18
4.94	8.467	0	743.53	18
4.96	8.468	0.001	745.73	18
4.98	8.468	0	747.94	18
5	8.468	0	750.13	18
5.02	8.468	0	752.33	18
5.04	8.468	0	754.53	18
5.06	8.468	0	756.72	18
5.08	8.469	0.001	758.92	18
5.1	8.469	0	761.13	18
5.12	8.47	0.001	763.32	18
5.14	8.47	0	765.52	18
5.16	8.471	0	767.82	18
5.18	8.471	0	770.02	18
5.2	8.471	0	772.22	18
5.22	8.471	0	774.42	18
5.24	8.471	0	776.61	18
5.26	8.471	0	778.82	18
5.28	8.471	0	781.01	18
5.3	8.471	0	783.21	18
5.32	8.472	0	785.42	18
5.34	8.472	0	787.61	18
5.36	8.472	0	789.81	18
5.38	8.473	0.001	792.01	18
5.4	8.473	0	794.21	18
5.42	8.473	0.001	796.51	18
5.44	8.473	0	798.71	18
5.46	8.474	0	800.91	18
5.48	8.474	0	803.11	18
5.5	8.474	0	805.3	18
5.52	8.474	0	807.5	18
5.54	8.474	0	809.71	18
5.56	8.475	0.001	811.9	18
5.58	8.476	0	814.1	18
5.6	8.476	0.001	816.3	18
5.62	8.477	0.001	818.5	18
5.64	8.477	0	820.7	18
5.66	8.478	0.001	822.9	18
5.68	8.477	0	825.1	18
5.7	8.478	0.001	827.4	18
5.72	8.478	0	829.6	18
5.74	8.479	0.001	831.9	18
5.76	8.479	0	834.1	18
5.78	8.479	0	836.29	18
5.8	8.478	0	838.59	18
5.82	8.479	0.001	840.79	18
5.84	8.479	0	843	18
5.86	8.48	0	845.19	18
5.88	8.48	0	847.39	18
5.9	8.48	0	849.59	18
5.92	8.481	0	851.79	18
5.94	8.481	0	853.99	18
5.96	8.481	0	856.19	18
5.98	8.481	0	858.39	18
6	8.482	0.001	860.58	18
6.02	8.482	0	862.88	18
6.04	8.483	0.001	865.08	18
6.06	8.483	0	867.38	18
6.08	8.482	0	869.58	18
6.1	8.483	0.001	871.88	18
6.12	8.483	0	874.08	18
6.14	8.483	0	876.28	18
6.16	8.484	0.001	878.48	18
6.18	8.484	0	880.78	18
