#Wave	#Intensity
1120.720703	378.000427
1119.556641	382.350555
1118.394531	360.182526
1117.230469	360.115662
1116.068359	342.377716
1114.904297	373.232880
1113.740234	401.868469
1112.576172	375.301941
1111.412109	353.159760
1110.246094	361.921539
1109.082031	328.757874
1107.917969	337.520844
1106.751953	346.280579
1105.585938	317.548615
1104.421875	341.742279
1103.255859	326.248077
1102.089844	319.575500
1100.921875	348.162354
1099.755859	367.925934
1098.589844	328.208191
1097.421875	314.933136
1096.255859	334.691803
1095.087891	343.435547
1093.919922	301.550720
1092.751953	325.702179
1091.583984	327.841797
1090.416016	345.379730
1089.248047	332.118622
1088.080078	367.241577
1086.910156	310.008453
1085.740234	351.717102
1084.572266	336.266785
1083.402344	338.401520
1082.232422	428.415558
1081.062500	404.173157
1079.892578	408.490143
1078.722656	412.805481
1077.550781	423.705292
1076.380859	417.041382
1075.208984	458.659912
1074.037109	557.310425
1072.867188	524.300476
1071.695313	513.236023
1070.523438	548.226746
1069.349609	543.739380
1068.177734	578.711182
1067.005859	569.836365
1065.832031	545.625977
1064.660156	479.798218
1063.486328	523.517578
1062.312500	457.718475
1061.138672	431.357330
1059.964844	450.979706
1058.791016	413.685547
1057.617188	409.231384
1056.441406	398.214844
1055.267578	393.765198
1054.091797	374.006927
1052.916016	358.629578
1051.742188	371.680603
1050.566406	378.168854
1049.390625	406.510071
1048.212891	356.175964
1047.037109	360.478699
1045.861328	375.701355
1044.683594	338.504669
1043.507813	351.542206
1042.330078	390.771820
1041.152344	340.497070
1039.974609	353.526855
1038.796875	298.914185
1037.619141	346.849945
1036.439453	372.957367
1035.261719	327.094208
1034.082031	327.032867
1032.904297	359.668671
1031.724609	346.524750
1030.544922	333.385773
1029.365234	331.144623
1028.185547	320.191589
1027.005859	328.842529
1025.826172	320.071350
1024.644531	311.303467
1023.464844	359.128845
1022.283203	343.828461
1021.101563	308.952332
1019.919922	328.472076
1018.738281	356.684082
1017.556641	376.187500
1016.375000	397.857635
1015.191406	404.303864
1014.009766	339.029785
1012.826172	401.978943
1011.644531	438.834991
1010.460938	499.569611
1009.277344	603.713989
1008.093750	657.880981
1006.910156	774.981201
1005.726563	844.288391
1004.541016	943.949341
1003.357422	924.245300
1002.171875	926.240417
1000.986328	821.964905
999.802734	808.799866
998.617188	750.112671
997.431641	663.269470
996.244141	602.464600
995.058594	647.852356
993.873047	623.900696
992.685547	576.132996
991.498047	519.721191
990.312500	519.623169
989.125000	532.513306
987.937500	495.620087
986.750000	519.329163
985.562500	538.702332
984.373047	506.154846
983.185547	547.149597
981.996094	560.019775
980.808594	588.017822
979.619141	549.001160
978.429688	527.287354
977.240234	613.612000
976.050781	663.180603
974.861328	732.168579
973.669922	982.518433
972.480469	1193.912109
971.289063	1428.969971
970.097656	1864.647583
968.908203	2371.365967
967.716797	2653.529297
966.525391	2612.045654
965.332031	2197.498779
964.140625	1666.678345
962.949219	1200.729858
961.755859	954.798340
960.564453	786.536011
959.371094	601.101379
958.177734	516.978577
956.984375	516.880676
955.791016	480.177368
954.597656	454.252197
953.402344	393.897644
952.208984	389.518951
951.013672	382.990265
949.820313	335.590790
948.625000	382.845123
947.429688	354.817261
946.234375	326.799988
945.039063	309.541290
943.843750	333.123627
942.646484	328.762878
941.451172	317.958679
940.253906	367.301483
939.056641	300.657623
937.861328	324.219177
936.664063	332.744598
935.466797	306.925476
934.267578	240.343536
933.070313	323.973083
931.873047	276.719147
930.673828	276.666595
929.476563	321.644226
928.277344	302.288147
927.078125	336.526398
925.878906	336.462463
924.679688	293.545197
923.480469	248.501984
922.279297	284.866211
921.080078	314.792267
919.878906	291.181000
918.677734	271.859955
917.478516	269.668030
916.277344	278.175995
915.076172	248.171356
913.875000	295.182159
912.671875	265.185669
911.470703	269.411560
910.267578	299.289215
909.066406	297.094849
907.863281	279.942566
906.660156	243.567749
905.457031	314.014374
904.253906	311.818817
903.050781	296.812042
901.845703	260.461639
900.642578	262.546539
899.437500	273.167084
898.234375	285.917297
897.029297	292.262695
895.824219	234.618744
894.619141	264.428864
893.414063	292.095520
892.207031	285.644775
891.001953	279.196472
889.796875	289.797546
888.589844	253.524460
887.382813	293.947052
886.175781	300.279877
884.968750	244.862366
883.761719	236.300278
882.554688	266.053101
881.347656	297.922577
880.138672	280.844788
878.931641	261.646271
877.722656	267.976685
876.513672	267.925476
875.304688	261.496338
874.095703	265.697510
872.886719	284.773285
871.677734	295.342682
870.466797	250.674622
869.257813	250.626678
868.046875	293.049713
866.835938	307.855682
865.625000	278.078461
864.414063	267.413605
863.203125	260.996674
861.992188	271.554291
860.781250	301.197876
859.568359	250.243286
